1: "fern-sidebar-link-title-inner","fern-sidebar-link-title-inner 2","fern-sidebar-link href","fern-docs-badge","fern-sidebar-link-title-inner 5","fern-sidebar-link href 2","fern-docs-badge 2","fern-sidebar-link-title-inner 6","fern-sidebar-link href 3","fern-docs-badge 3","fern-sidebar-link-title-inner 7","fern-sidebar-link href 4","fern-docs-badge 4","fern-sidebar-link-title-inner 8","fern-sidebar-link href 5","fern-docs-badge 5","fern-sidebar-link-title-inner 9","fern-sidebar-link href 6","fern-docs-badge 6","fern-sidebar-link-title-inner 10","fern-sidebar-link href 7","fern-docs-badge 7","fern-sidebar-link-title-inner 11","fern-docs-badge 8","fern-docs-badge 9","fern-sidebar-link href 10","fern-sidebar-link-title-inner 14","fern-sidebar-link href 11","fern-sidebar-link-title-inner 15"
2: "Agents","Branches","https://elevenlabs.io/docs/api-reference/agents/create","POST","Create agent","https://elevenlabs.io/docs/api-reference/agents/get","GET","Get agent","https://elevenlabs.io/docs/api-reference/agents/list","GET","List agents","https://elevenlabs.io/docs/api-reference/agents/update","PATCH","Update agent","https://elevenlabs.io/docs/api-reference/agents/delete","DEL","Delete agent","https://elevenlabs.io/docs/api-reference/agents/duplicate","POST","Duplicate agent","https://elevenlabs.io/docs/api-reference/agents/get-link","GET","Get link","POST","POST","https://elevenlabs.io/docs/api-reference/agents/calculate","Calculate expected LLM usage","https://elevenlabs.io/docs/api-reference/agents/get-summaries","Get agent summaries"
3: "Conversations","Analysis","https://elevenlabs.io/docs/api-reference/conversations/list","POST","List conversations","https://elevenlabs.io/docs/api-reference/conversations/get","GET","Get conversation details","https://elevenlabs.io/docs/api-reference/conversations/delete","GET","Delete conversation","https://elevenlabs.io/docs/api-reference/conversations/get-audio","GET","Get conversation audio","https://elevenlabs.io/docs/api-reference/conversations/get-signed-url","DEL","Get signed URL","https://elevenlabs.io/docs/api-reference/conversations/get-webrtc-token","POST","Get conversation token","https://elevenlabs.io/docs/api-reference/conversations/create","GET","Send conversation feedback","POST","GET","https://elevenlabs.io/docs/api-reference/conversations/analysis/run-analysis","Run conversation analysis","https://elevenlabs.io/docs/api-reference/conversations/messages/text-search","Text search"
4: "Users","","https://elevenlabs.io/docs/api-reference/users/list","","List users","","GET","","","","","","","","","","","","","","","","","","","","","",""
5: "Tools","","https://elevenlabs.io/docs/api-reference/tools/list","POST","List tools","https://elevenlabs.io/docs/api-reference/tools/get","GET","Get tool","https://elevenlabs.io/docs/api-reference/tools/create","GET","Create tool","https://elevenlabs.io/docs/api-reference/tools/update","PATCH","Update tool","https://elevenlabs.io/docs/api-reference/tools/delete","DEL","Delete tool","https://elevenlabs.io/docs/api-reference/tools/get-dependent-agents","","Get dependent agents","","GET","","","","","","",""
6: "Knowledge Base","Documents","https://elevenlabs.io/docs/api-reference/knowledge-base/search","GET","Search knowledge base","https://elevenlabs.io/docs/api-reference/knowledge-base/get-agents","GET","Get dependent agents","https://elevenlabs.io/docs/api-reference/knowledge-base/size","GET","Get knowledge base size","https://elevenlabs.io/docs/api-reference/knowledge-base/get-summaries","GET","Get knowledge base summaries","https://elevenlabs.io/docs/api-reference/knowledge-base/get-content","POST","Create knowledge base document from file","https://elevenlabs.io/docs/api-reference/knowledge-base/get-chunk","DEL","Get document content","https://elevenlabs.io/docs/api-reference/knowledge-base/create-from-url","GET","Create knowledge base document from URL","POST","GET","https://elevenlabs.io/docs/api-reference/knowledge-base/list","List knowledge base documents","https://elevenlabs.io/docs/api-reference/knowledge-base/delete","Delete knowledge base document"
7: "Tests","Test Invocations","https://elevenlabs.io/docs/api-reference/tests/list","POST","List tests","https://elevenlabs.io/docs/api-reference/tests/get","GET","Get test","https://elevenlabs.io/docs/api-reference/tests/create","GET","Create test","https://elevenlabs.io/docs/api-reference/tests/update","PUT","Update test","https://elevenlabs.io/docs/api-reference/tests/delete","DEL","Delete test","https://elevenlabs.io/docs/api-reference/tests/summaries","POST","Get test summaries","https://elevenlabs.io/docs/api-reference/tests/run-tests","","Run tests on agent","POST","","","","",""
8: "Phone Numbers","","https://elevenlabs.io/docs/api-reference/phone-numbers/create","POST","Import phone number","https://elevenlabs.io/docs/api-reference/phone-numbers/list","GET","List phone numbers","https://elevenlabs.io/docs/api-reference/phone-numbers/get","GET","Get phone number","https://elevenlabs.io/docs/api-reference/phone-numbers/update","PATCH","Update phone number","https://elevenlabs.io/docs/api-reference/phone-numbers/delete","DEL","Delete phone number","","","","","","","","","","","",""
9: "Widget","","https://elevenlabs.io/docs/api-reference/widget/get","POST","Get widget","https://elevenlabs.io/docs/api-reference/widget/create","GET","Create widget avatar","","","","","","","","","","","","","","","","","","","","",""
10: "Workspace","Settings","","GET","","","PATCH","","","","","","GET","","https://elevenlabs.io/docs/api-reference/workspace/secrets/get-dependencies","","Delete secret","https://elevenlabs.io/docs/api-reference/workspace/dashboard/get","DEL","Get secret dependencies","https://elevenlabs.io/docs/api-reference/workspace/secrets/get","","Get secret","POST","GET","https://elevenlabs.io/docs/api-reference/workspace/get","Get settings","https://elevenlabs.io/docs/api-reference/workspace/update","Update settings"
11: "SIP Trunk","","https://elevenlabs.io/docs/api-reference/sip-trunk/outbound-call","POST","Outbound call via SIP trunk","","","","","","","","","","","","","","","","","","","","","","","",""
12: "Twilio","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13: "WhatsApp","Accounts","https://elevenlabs.io/docs/api-reference/whats-app/outbound-call","POST","Outbound call via WhatsApp","https://elevenlabs.io/docs/api-reference/whats-app/outbound-message","","Outbound message via WhatsApp","","","","","","","","","","","POST","","","","","","","","","",""
14: "Batch Calling","","https://elevenlabs.io/docs/api-reference/batch-calling/create","POST","Submit batch calling job","https://elevenlabs.io/docs/api-reference/batch-calling/list","GET","List workspace batch calling jobs","https://elevenlabs.io/docs/api-reference/batch-calling/get","GET","Get batch call information","https://elevenlabs.io/docs/api-reference/batch-calling/cancel","","Cancel batch calling job","https://elevenlabs.io/docs/api-reference/batch-calling/retry","DEL","Retry batch calling job","https://elevenlabs.io/docs/api-reference/batch-calling/delete","POST","Delete batch calling job","","","","POST","","","","",""
15: "LLM","","https://elevenlabs.io/docs/api-reference/llm/list","POST","List LLMs","https://elevenlabs.io/docs/api-reference/llm/calculate","GET","Calculate expected LLM usage","","","","","","","","","","","","","","","","","","","","",""
16: "MCP","Tool Configuration","https://elevenlabs.io/docs/api-reference/mcp/create","POST","Create MCP server","https://elevenlabs.io/docs/api-reference/mcp/delete","GET","Delete MCP server","https://elevenlabs.io/docs/api-reference/mcp/list","GET","List MCP servers","https://elevenlabs.io/docs/api-reference/mcp/get","PATCH","Get MCP server","https://elevenlabs.io/docs/api-reference/mcp/list-tools","DEL","List MCP server tools","https://elevenlabs.io/docs/api-reference/mcp/update","DEL","Update MCP server configuration","https://elevenlabs.io/docs/api-reference/mcp/tool-configuration/get","GET","Update configuration override","POST","GET","https://elevenlabs.io/docs/api-reference/mcp/approval-policies/update","Create MCP server tool approval","https://elevenlabs.io/docs/api-reference/mcp/approval-policies/create","Delete MCP server tool approval"
17: "Analytics","","https://elevenlabs.io/docs/api-reference/analytics/get","","Get live count","","GET","","","","","","","","","","","","","","","","","","","","","",""
18: "Environment Variables","","https://elevenlabs.io/docs/api-reference/environment-variables/list","POST","List environment variables","https://elevenlabs.io/docs/api-reference/environment-variables/create","GET","Create environment variable","https://elevenlabs.io/docs/api-reference/environment-variables/get","GET","Get environment variable","https://elevenlabs.io/docs/api-reference/environment-variables/update","PATCH","Update environment variable","","","","","","","","","","","","","","",""
19: "Introduction","","https://elevenlabs.io/docs/api-reference/introduction","","","","","","","","","","","","","","","","","","","","","","","","","",""
20: "Authentication","","https://elevenlabs.io/docs/api-reference/authentication","","","","","","","","","","","","","","","","","","","","","","","","","",""
21: "Streaming","","https://elevenlabs.io/docs/api-reference/streaming","","","","","","","","","","","","","","","","","","","","","","","","","",""
22: "Text to Speech","WebSocket","https://elevenlabs.io/docs/api-reference/text-to-speech/v-1-text-to-speech-voice-id-stream-input","POST","Multi-Context WebSocket","https://elevenlabs.io/docs/api-reference/text-to-speech/v-1-text-to-speech-voice-id-multi-stream-input","WSS","Create speech","https://elevenlabs.io/docs/api-reference/text-to-speech/convert","WSS","Create speech with timing","https://elevenlabs.io/docs/api-reference/text-to-speech/convert-with-timestamps","STREAM","Stream speech","https://elevenlabs.io/docs/api-reference/text-to-speech/stream","","Stream speech with timing","https://elevenlabs.io/docs/api-reference/text-to-speech/stream-with-timestamps","POST","","","","","","","","","",""
23: "Speech to Text","Realtime","https://elevenlabs.io/docs/api-reference/speech-to-text/v-1-speech-to-text-realtime","POST","Get transcript","https://elevenlabs.io/docs/api-reference/speech-to-text/get","WSS","Delete transcript","https://elevenlabs.io/docs/api-reference/speech-to-text/delete","GET","Create transcript","https://elevenlabs.io/docs/api-reference/speech-to-text/convert","","","","DEL","","","","","","","","","","","","",""
